carrier_id,carrier_name,carrier_code
201,Swift Transportation,SWFT
202,J.B. Hunt,JBHT
203,Schneider National,SNDR
204,Werner Enterprises,WERN
205,Knight-Swift,KNGT
301,Prime Inc,PRIM
302,USA Truck,USAK
303,Covenant Transport,CVTI
304,Heartland Express,HTLD
305,Marten Transport,MRTN
306,PAM Transport,PTSI
307,Forward Air,FWRD
401,Old Dominion,ODFL
402,XPO Logistics,XPO
403,YRC Worldwide,YRCW
404,Estes Express,ESTS
405,ABF Freight,ABFS
406,R+L Carriers,RLCA
407,Saia LTL,SAIA
408,Holland Regional,HLND
409,Central Transport,CTII 
